0.005,45.6
0.01,35.0
0.015,34.7
0.02,34.4
0.025,34.5
0.03,34.2
0.035,34.5
0.04,34.5
0.045,34.4
0.05,34.5
0.055,34.4
0.06,34.4
0.065,34.5
0.07,34.4
0.075,34.4
0.08,36.6
0.085,35.7
0.09,34.6
0.095,34.5
0.1,34.6
0.105,34.7
0.11,34.5
0.115,34.5
0.12,34.6
0.125,34.5
0.13,34.6
0.135,34.7
0.14,34.6
0.145,34.5
0.15,34.5
0.155,34.6
0.16,34.6
0.165,34.6
0.17,34.6
0.175,34.6
0.18,34.6
0.185,34.7
0.19,34.7
0.195,34.9
0.2,34.9
0.205,34.9
0.21,35.1
0.215,35.6
0.22,34.9
0.225,34.7
0.23,34.8
0.235,34.7
0.24,34.8
0.245,34.8
0.25,34.4
